,MAR,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,(blank),,,,,,
1983,0.826,5.145,0.203,0.515,,2.681,,28.179,3.569,1.884,1.117,14.735,6.831,9.12,0.047,10.26,0.111,0.08,0.093,10.085,20.734,8.97,4.037,9.299,1.091,,0.72,1.282,2.711,12.728,0.068,0.925,0.06,16.142,6.279,1.765,1.606,0.513,0.697,0.142,0.567,,1.664,0.149,0.132,0.811,3.092,31.02,,4.466,17.552,13.038,0.889,,9.792,1.273,2.477,2.27,1.198,0,5.315,16.638,0.048,8.543,1.036,7.703,,,7.001,9.68,3.131,0.307,,0.197,2.355,0.238,0.164,0.191,5.625,0.625,,0.405,4.92,1.605,4.051,0.496,4.062,0.146,8.347,0.664,0.507,7.274,3.429,2.612,6.567,6.056,6.353,2.832,2.759,7.333,17.776,0.255,3.059,0.052,0.324,,3.793,13.659,0.052,2.757,0.338,8.407,0.815,,0.31,0,6.608,22.666,5.802,2.605,5.309,0.068,0.284,3.75,,6.333,0.056,2.919,0.162,3.665,3.834,0.156,0.562,,3.097,0.601,0.087,2.56,,7.583,0.147,0.754,0.567,,9.616,9.085,0.031,,5.582,5.532,3.955,0.467,1.645,1.095,0.688,,0.559,11.545,,6.862,3.028,0.407,,2.536,36.384,1.675,8.74,15.428,0.123,13.679,0.222,0.431,13.553,,0.55,0.191,0.396,0.138,,0.064,0.498,3.75,11.379,7.575,6.991,0.41,,1.451,2.811,,0.043,0.182,0.845,1.794,11.176,,0.533,14.306,1.631,1.922,,4.477,0.108,0.045,13.052,1.281,18.356,6.792,0.486,5.598,,0.331,0.402,0.695,0.694,9.085,0.501,1.302,1.142,1.493,0.892,10.486,,10.189,1.887
1984,0.808,12.732,0.235,0.487,,2.695,,35.162,3.557,1.872,2.121,15.264,7.165,9.052,0.048,10.634,0.12,0.062,0.101,9.733,22.592,8.043,4.215,9.319,1.06,,0.664,1.27,2.939,8.798,0.11,0.903,0.058,16.63,6.1,1.851,1.722,0.55,0.621,0.136,0.551,,1.613,0.145,0.259,0.752,3.252,77.17,,4.558,18.171,13.332,0.862,,9.933,1.171,3.245,2.407,1.305,0,5.138,16.682,0.042,8.637,0.828,7.35,,,7.413,9.38,3.135,0.21,,0.198,2.514,0.242,0.182,0.237,5.746,0.61,,0.425,4.414,1.806,4.247,0.479,4.261,0.146,8.55,0.694,0.507,7.183,3.31,2.642,7.579,5.906,6.452,2.226,3.003,7.751,17.727,0.228,3.026,0.055,0.319,,4.064,17.115,0.05,2.643,0.324,7.633,0.884,,0.243,0,6.617,24.385,5.823,2.206,5.303,0.089,0.328,3.661,,6.65,0.057,3.931,0.18,3.84,3.442,0.12,0.506,,4.403,0.625,0.081,2.282,,7.869,0.147,0.854,0.511,,10.039,9.767,0.043,,5.945,5.625,4.025,0.48,1.327,1.083,0.586,,0.552,11.762,,7.268,2.911,0.418,,2.7,36.081,1.824,8.218,15.457,0.107,12.462,0.193,0.525,12.625,,0.533,0.168,0.329,0.105,,0.055,0.491,4.216,11.694,7.895,6.869,0.485,,1.44,3.212,,0.044,0.194,0.899,1.756,11.01,,0.533,15.16,1.619,1.989,,4.503,0.112,0.041,13.123,1.153,18.743,6.683,0.675,5.46,,0.294,0.393,0.691,0.757,9.583,0.418,1.188,1.213,1.55,0.966,10.511,,10.542,1.87
1985,0.792,14.914,0.298,0.443,,2.653,,35.865,3.307,1.987,3.583,15.323,7.178,9.603,0.049,10.527,0.173,0.062,0.11,9.968,24.295,6.434,4.26,9.985,1.152,,0.663,1.335,3.321,11.536,0.128,0.976,0.061,16.299,6.163,1.764,1.835,0.716,0.644,0.122,0.602,,1.559,0.141,0.254,0.828,3.228,90.173,,4.405,17.942,13.469,0.846,,11.736,1.123,3.223,2.147,1.273,0,5.177,17.853,0.044,10.105,0.815,7.23,,,7.602,9.907,3.35,0.261,,0.195,2.499,0.232,0.189,0.195,6.07,0.601,,0.427,4.28,1.843,4.309,0.446,4.326,0.147,8.142,0.734,0.545,7.49,3.393,2.866,6.747,6.087,6.522,2.155,2.945,7.504,18.893,0.192,3.198,0.054,0.312,,4.366,16.757,0.054,3.008,0.328,8.103,1.028,,0.244,0,7.077,24.967,6.238,2.574,5.663,0.105,0.369,3.726,,6.757,0.052,3.436,0.18,3.876,4.693,0.089,0.373,,3.56,0.699,0.078,2.321,,9.296,0.145,0.835,0.537,,10.185,9.795,0.041,,6.667,5.773,4.072,0.511,1.185,0.998,0.516,,0.561,12,,7.67,2.742,0.422,,3.368,33.416,1.772,8.405,16.551,0.101,13.08,0.217,0.412,12.341,,0.554,0.174,0.404,0.127,,0.062,0.482,4.307,11.471,7.974,7.459,0.624,,2.148,2.783,,0.035,0.169,0.934,1.836,11.591,,0.532,17.712,1.629,2.17,,4.433,0.108,0.042,14.105,1.092,18.64,7.029,0.67,5.78,,0.346,0.923,0.687,0.878,9.604,0.395,1.185,1.209,1.607,1,10.926,,10.672,1.87
1986,0.82,2.873,0.271,0.427,,2.647,,32.06,3.375,1.96,3.633,14.999,7.087,9.471,0.048,10.353,0.157,0.061,0.12,10.192,25.376,5.896,4.405,9.949,1.238,,0.595,1.435,3.583,9.958,0.104,0.872,0.059,15.443,6.507,1.795,1.896,0.561,0.192,0.11,0.489,,1.549,0.109,0.187,0.932,3.299,17.327,,4.97,18.076,13.494,0.836,,11.506,1.233,3.279,1.646,1.444,0,4.885,17.747,0.052,10.809,0.835,6.917,,,5.815,10.045,3.325,0.232,,0.191,2.621,0.209,0.195,0.213,5.894,0.699,,0.438,4.024,1.36,4.734,0.419,4.498,0.129,7.935,0.722,0.572,7.98,3.01,2.994,7.285,6.411,6.417,1.927,3.078,7.465,18.717,0.204,3.141,0.054,0.305,,4.417,19.22,0.055,2.895,0.332,8.519,1.011,,0.225,0,7.034,24.412,6.203,2.976,5.629,0.11,0.407,3.729,,7.039,0.048,4.201,0.179,4.04,4.893,0.075,0.203,,3.986,0.782,0.072,2.49,,8.843,0.126,0.856,0.595,,9.933,11.282,0.041,,6.951,6.322,4.121,0.519,1.212,1.092,0.523,,0.529,12.127,,8.215,3.055,0.439,,3.332,33.398,1.898,8.704,16.476,0.094,14.76,0.219,0.398,12.665,,0.538,0.171,0.399,0.134,,0.063,0.474,4.67,11.491,8.253,7.393,0.626,,2.286,2.847,,0.036,0.211,0.937,1.781,11.34,,0.531,14.67,1.605,2.33,,4.87,0.102,0.046,14.1,1.049,18.477,6.875,0.665,6.091,,0.369,0.451,0.685,0.807,9.585,0.403,1.462,1.218,1.634,0.841,10.912,,10.487,1.936
1987,0.855,7.278,0.271,0.518,,2.384,,30.531,3.666,2.008,3.98,15.743,7.553,9.705,0.05,10.363,0.119,0.064,0.12,10.218,25.436,5.834,4.334,10.305,1.319,,0.623,1.468,3.649,13.972,0.2,0.981,0.094,16.221,6.157,1.798,1.987,0.697,0.172,0.122,0.587,,1.561,0.133,0.246,0.961,3.303,15.47,,5.695,17.934,13.266,0.795,,11.391,1.441,3.514,1.589,1.409,0,4.883,18.315,0.059,11.647,0.665,6.732,,,4.585,10.076,3.424,0.243,,0.184,2.738,0.224,0.201,0.256,6.299,0.704,,0.462,4.287,1.729,5.121,0.478,4.449,0.136,8.054,0.718,0.598,8.447,3.114,3.244,7.488,6.489,6.715,2.261,3.085,7.353,19.274,0.245,3.208,0.054,0.297,,4.617,16.183,0.054,2.979,0.351,7.918,1.145,,0.244,0,7.264,23.337,6.403,3.147,5.817,0.121,0.394,3.815,,6.977,0.045,5.206,0.129,4.005,5.203,0.075,1.753,,4.716,0.903,0.068,2.465,,9.08,0.137,0.673,0.628,,10.382,9.713,0.05,,7.276,5.84,4.149,0.544,1.38,1.26,0.57,,0.583,12.386,,9.072,3.16,0.486,,3.298,27.206,2.021,9.094,17.047,0.092,13.118,0.168,0.355,11.551,,0.558,0.124,0.485,0.141,,0.049,0.465,4.587,11.345,8.132,7.086,0.574,,2.857,3.186,,0.037,0.222,1.054,1.796,11.531,,0.53,14.65,1.526,2.54,,5.005,0.103,0.049,14.653,1.167,19.089,6.989,0.755,6.014,,0.406,0.367,0.683,0.817,9.332,0.366,1.639,1.185,1.68,0.874,11.103,,10.984,1.996
1988,0.883,9.987,0.249,0.446,,2.29,,29.187,3.817,2.032,4.325,15.788,6.959,9.806,0.045,10.068,0.118,0.066,0.134,9.76,26.118,6.22,4.456,10.531,1.396,,0.654,1.453,3.675,23.358,0.213,0.999,0.082,16.91,6.19,2.1,2.09,0.801,0.199,0.124,0.649,,1.589,0.129,0.212,0.998,3.431,15.369,,5.608,17.644,13.174,0.662,,10.749,1.424,3.411,1.772,1.365,0,5.081,18.661,0.059,10.51,0.761,6.6,,,4.803,10.024,3.483,0.249,,0.185,3.013,0.214,0.228,0.273,6.715,1.02,,0.466,4.989,1.865,5.252,0.535,4.59,0.15,7.494,0.755,0.632,8.355,3.315,4.076,7.407,6.997,6.82,1.893,2.862,7.996,19.594,0.219,3.234,0.053,0.289,,5.269,16.131,0.052,2.867,0.379,8.618,1.198,,0.207,0,7.399,23.843,6.525,2.992,5.932,0.118,0.476,3.738,,7.211,0.046,5.609,0.104,4.155,5.546,0.078,1.68,,4.919,0.819,0.063,2.507,,9.236,0.131,0.782,0.567,,9.936,10.093,0.055,,7.615,6.305,4.224,0.573,1.237,1.2,0.641,,0.536,11.822,,10.236,3.304,0.541,,3.004,26.859,2.275,9.082,17.398,0.1,13.354,0.235,0.385,12.541,,0.542,0.111,0.483,0.141,,0.07,0.457,4.803,11.114,8.366,6.781,0.55,,2.858,3.15,,0.013,0.221,1.219,1.788,11.554,,0.739,13.155,1.582,2.425,,5.697,0.096,0.053,15.021,1.564,19.732,7.008,0.657,6.134,,0.355,0.502,0.681,0.869,9.529,0.413,1.675,1.211,1.776,0.859,11.135,,11.049,2.039
1989,0.938,10.65,0.235,0.424,,2.76,,31.002,3.626,1.971,4.353,16.528,7.034,9.443,0.051,10.758,0.131,0.096,0.13,9.741,24.382,7.743,4.449,10.266,1.635,,0.742,1.458,3.816,25.207,0.113,1.067,0.087,16.94,5.958,2.484,2.086,0.72,0.671,0.131,0.636,,1.582,0.125,0.239,0.984,3.405,29.374,,5.779,17.056,12.912,0.692,,9.502,1.471,3.167,2.03,1.288,0,5.775,18.204,0.061,10.556,0.869,6.889,,,6.227,10.193,3.391,0.235,,0.18,3.125,0.204,0.233,0.29,7.285,1.032,,0.468,6.076,1.582,5.32,0.567,4.575,0.15,7.309,0.734,0.679,8.407,3.488,4.295,7.527,7.237,7.154,2.791,2.719,8.259,19.034,0.229,3.112,0.052,0.282,,5.545,17.101,0.056,3.008,0.314,8.614,1.177,,0.203,0,7.196,25.549,6.355,3.094,5.775,0.083,0.554,4.32,,7.186,0.051,6.005,0.111,4.145,4.932,0.08,1.442,,4.278,1.004,0.062,2.842,,9.912,0.134,0.457,0.365,,10.961,11.675,0.05,,7.551,5.778,4.241,0.582,1.042,1.021,0.648,,0.483,11.194,,10.726,4.139,0.546,,2.78,31.004,2.319,9.116,16.934,0.096,12.92,0.177,0.504,14.233,,0.528,0.087,0.499,0.132,,0.054,0.448,4.631,10.703,8.306,6.517,0.528,,3.279,2.859,,0.017,0.228,1.413,1.699,11.021,,0.737,13.291,1.642,2.627,,6.132,0.09,0.047,14.682,1.58,19.795,6.697,0.747,5.61,,0.262,0.42,0.741,0.867,9.277,0.333,1.633,1.135,1.796,0.89,11.087,,11.5,2
1990,0.945,26.388,0.213,0.42,,1.679,,27.938,3.424,1.848,4.198,16.334,8.065,8.712,0.039,12.009,0.143,0.066,0.146,8.896,25.044,7.607,4.488,9.852,1.653,,0.839,1.398,4.109,23.919,0.242,1.959,0.068,16.737,6.617,2.514,2.081,0.41,0.148,0.118,0.488,,1.672,0.146,0.292,0.953,3.149,31.635,,6.027,15.632,13.3,0.542,,10.546,1.283,2.968,1.645,1.322,0,5.885,23.683,0.063,11.399,1.112,7.016,,,4.726,10.41,3.181,0.26,,0.166,3.317,0.196,0.168,0.164,8.136,1.142,,0.548,5.441,1.52,4.724,0.523,4.897,0.139,7.078,0.824,0.711,9.201,3.74,2.728,8.43,8.059,7.614,3.106,2.918,9.293,16.618,0.249,2.879,0.14,0.276,,5.748,24.271,0.049,3.037,0.224,8.283,1.158,,0.223,0.916,9.689,30.933,7.424,2.995,5.392,0.082,0.762,3.727,,7.184,0.05,5.954,0.105,4.146,4.569,0.077,0.448,,4.492,1.383,0.079,3.135,,9.306,0.091,0.411,0.615,,10.843,8.405,0.034,,7.483,6.28,4.168,0.636,1.121,0.964,0.674,,0.496,9.908,,6.103,4.558,0.513,0.409,2.218,24.704,1.802,7.269,17.551,0.075,11.371,0.237,0.421,14.756,,0.481,0.114,0.478,0.099,,0.075,0.439,4.344,11.712,7.511,6.717,0.499,,2.124,2.999,,0.024,0.203,1.603,1.554,10.06,,0.841,13.921,1.611,2.748,,6.085,0.089,0.044,13.722,1.283,20.287,6.131,0.744,6.145,,0.314,0.477,0.614,0.795,8.335,0.304,1.535,1.042,1.802,0.885,11.175,,11.348,1.976
1991,0.985,25.997,0.188,0.405,,1.307,,28.913,3.525,1.797,4.011,16.2,8.478,8.266,0.043,11.925,0.159,0.07,0.147,6.847,23.285,6.817,3.241,9.179,1.884,,0.858,1.442,4.631,19.942,0.354,1.856,0.07,16.203,6.854,2.326,2.156,0.359,0.091,0.082,0.399,,1.634,0.165,0.286,1.049,2.784,25.301,,6.525,14.115,12.746,0.511,,12.574,1.371,2.974,1.575,1.339,0,6.114,21.987,0.06,11,0.911,7.411,,,4.631,10.525,3.087,0.261,,0.162,3.307,0.19,0.174,0.318,8.059,1.14,,0.533,5.552,1.491,4.889,0.529,3.628,0.138,6.732,0.973,0.741,9.389,3.96,2.542,8.074,7.908,7.609,3.171,2.608,9.33,16.017,0.2,2.745,0.14,0.271,,6.023,5.001,0.053,3.077,0.136,9.425,1.213,,0.238,0.936,10.25,32.173,6.798,3.081,5.186,0.086,0.653,3.809,,5.087,0.051,5.904,0.101,2.923,5.478,0.075,0.441,,3.879,1.423,0.083,3.699,0.723,10.202,0.087,0.432,0.472,,11.345,7.98,0.05,,7.579,6.21,4.147,0.616,1.284,0.91,0.691,,0.466,9.806,,5.759,4.711,0.493,0.402,2.129,36.288,2.185,6.013,16.438,0.069,15.862,0.214,0.439,14.606,,0.468,0.127,0.595,0.095,,0.072,0.43,4.937,10.086,6.973,6.696,0.373,,2.378,3.316,,0.011,0.216,1.741,1.465,9.427,,1.049,13.822,1.839,2.812,,6.569,0.091,0.043,12.294,1.453,19.898,5.771,0.742,5.673,,0.308,0.464,0.67,0.727,8.485,0.292,1.526,1.059,1.84,0.844,10.693,,11.25,1.962
1992,1.009,21.397,0.099,0.4,,0.775,,27.839,3.603,1.69,3.8,16.29,7.717,7.52,0.039,11.821,0.169,0.068,0.159,6.549,20.819,6.726,3.548,8.54,1.853,,0.932,1.427,3.738,19.017,0.414,1.91,0.071,16.513,6.752,2.374,2.233,0.311,0.305,0.075,0.497,,1.744,0.16,0.306,1.163,2.913,20.887,,6.845,13.672,12.065,0.504,,11.408,1.462,2.946,2.079,1.353,0,6.316,16.116,0.057,10.755,1.007,7.196,,0.986,4.907,10.23,2.892,0.257,,0.157,3.406,0.184,0.169,0.352,8.125,1.235,,0.619,5.596,1.39,5.587,0.585,3.51,0.123,6.024,1.078,0.771,9.313,3.918,3.2,8.457,8.892,7.611,3.127,3.09,9.381,14.605,0.222,2.517,0.14,0.401,,6.477,10.992,0.058,3.668,0.138,8.005,1.409,,0.292,0.954,5.751,31.145,5.438,2.98,4.788,0.081,0.974,3.765,,5.416,0.05,6.259,0.117,3.111,4.908,0.071,0.453,,4.383,1.579,0.082,3.957,0.76,8.9,0.082,0.465,0.552,,11.256,8.114,0.067,,8.024,6.086,4.042,0.639,1.646,0.898,0.749,,0.452,9.524,,4.992,5.118,0.571,0.402,1.997,54.045,2.426,5.589,13.574,0.073,16.417,0.185,0.433,15.172,,0.424,0.104,0.615,0.091,,0.064,0.421,4.896,9.21,6.981,6.617,0.287,,2.338,3.252,,0.013,0.211,1.897,1.328,8.462,,0.733,15.467,1.745,2.871,,7.015,0.085,0.042,11.46,1.639,20.115,5.21,0.741,5.091,,0.302,0.386,0.664,0.746,7.658,0.29,1.591,1.006,1.872,0.884,9.826,,11.338,1.96
1993,1.074,21.93,0.089,0.43,,0.731,,29.868,3.454,0.758,3.861,16.352,7.703,6.385,0.04,11.667,0.205,0.066,0.153,6.7,27.284,6.269,3.08,7.428,1.923,,1.075,1.467,4.219,17.604,0.344,2.141,0.069,16.29,6.327,2.492,2.363,0.392,0.305,0.067,0.498,,1.767,0.156,0.298,1.182,2.72,32.313,,6.998,13.087,11.873,0.501,,11.788,1.544,2.956,2.209,1.519,0,6.083,12.815,0.057,11.107,0.993,6.804,,0.962,4.838,9.949,1.91,0.286,,0.152,3.456,0.188,0.165,0.212,7.969,1.221,,0.568,5.42,1.38,5.84,0.528,3.636,0.088,6.132,1.144,0.783,9.333,4.018,3.33,8.871,9.03,7.495,3.214,2.886,9.298,12.846,0.246,1.92,0.138,0.396,,7.255,18.71,0.056,4.023,0.16,8.185,1.532,,0.281,0.959,4.454,31.073,4.635,3.186,3.575,0.081,0.825,3.744,,5.207,0.049,7.17,0.127,2.699,4.1,0.074,0.445,,4.336,1.611,0.091,4.701,0.891,10.12,0.088,0.439,0.52,,11.216,8.462,0.072,,7.774,6.491,3.975,0.668,1.498,1.018,0.742,,0.428,9.508,,4.535,4.956,0.632,0.389,2.064,61.208,2.224,5.251,12.866,0.078,17.557,0.123,0.434,15.559,,0.412,0.104,0.692,0.085,,0.046,0.412,4.744,8.709,7.142,6.565,0.141,,2.429,3.364,,0.014,0.212,2.139,0.924,7.053,,0.836,14.433,1.877,2.974,,7.513,0.092,0.04,9.946,1.403,20.355,5.296,0.925,5.845,,0.317,0.375,0.658,0.621,7.96,0.288,1.499,1.039,1.918,0.864,9.406,,11.319,2.038
1994,1.111,20.991,0.08,0.281,,0.611,,31.378,3.539,0.822,3.765,16.437,7.7,5.458,0.039,12.271,0.221,0.065,0.163,6.598,26.893,6.126,0.818,6.155,1.835,,1.163,1.515,2.841,16.199,0.407,1.977,0.07,16.637,6.13,2.702,2.486,0.332,0.291,0.041,0.79,,1.834,0.151,0.29,1.538,2.969,31.146,,7.144,12.466,11.605,0.482,,12.511,1.607,3.045,1.218,1.364,0.279,6.378,13.657,0.04,12.103,0.98,6.759,,0.943,4.147,9.836,1.19,0.303,,0.166,3.555,0.183,0.162,0.062,8.085,1.408,,0.671,4.655,1.82,5.163,0.6,3.508,0.039,5.974,1.141,0.811,9.587,4.437,3.637,8.599,9.361,7.361,3.259,3.098,9.759,10.829,0.247,1.376,0.143,0.391,,7.669,23.366,0.057,4.266,0.154,9.083,1.79,,0.305,0.964,4.322,28.626,4.089,3.36,2.772,0.097,0.805,3.817,,5.278,0.049,6.817,0.146,2.613,3.482,0.07,0.504,,4.451,1.454,0.094,4.7,0.983,10.63,0.084,0.334,0.562,,11.366,8.856,0.081,,7.697,7.117,3.986,0.708,1.613,0.985,0.802,,0.457,9.369,,4.092,5.005,0.737,0.388,2.08,59.555,2.452,5.195,11.358,0.078,16.805,0.163,0.458,18.205,,0.401,0.119,0.828,0.083,,0.064,0.403,4.668,8.156,7.331,6.804,0.51,,2.649,3.341,,0.015,0.199,2.361,0.416,8.143,,0.939,13.94,1.779,2.87,,7.779,0.083,0.036,8.201,1.268,20.499,4.846,1.11,5.977,,0.355,0.365,0.652,0.617,8.222,0.272,1.599,1.029,1.974,0.903,8.907,,11.33,2.063
1995,1.121,20.791,0.073,0.769,,0.67,,28.822,3.654,1.06,3.668,16.887,8.036,4.284,0.04,12.346,0.225,0.062,0.192,6.865,26.273,5.997,0.892,5.542,1.836,,1.3,1.591,3.133,16.118,0.486,1.937,0.069,16.894,6.186,2.917,2.676,0.455,0.313,0.051,0.557,,1.591,0.147,0.308,1.384,2.356,31.067,,6.839,12.525,11.548,0.476,,11.877,2.011,3.294,1.995,1.501,0.301,6.7,12.7,0.045,11.354,0.98,6.831,,1.023,4.254,9.655,0.458,0.314,,0.164,3.623,0.188,0.158,0.257,8.059,1.496,,0.688,4.221,1.918,5.12,0.68,3.68,0.115,5.953,1.141,0.844,9.801,4.502,3.676,8.631,9.573,7.816,3.614,2.963,9.842,10.495,0.276,0.992,0.145,0.386,,8.266,34.011,0.072,4.474,0.159,9.291,2.108,,0.323,0.971,4.142,22.345,3.648,3.189,2.577,0.094,0.984,3.536,,5.461,0.049,6.206,0.161,2.756,3.442,0.07,0.46,,4.448,1.621,0.093,5.905,0.985,10.853,0.085,0.332,0.603,,11.175,8.812,0.095,,7.66,7.204,4.013,0.687,1.088,0.993,0.869,,0.421,9.396,,3.789,5.373,0.832,0.363,1.998,61.855,2.613,5.463,10.989,0.078,12.541,0.163,0.399,12.113,,0.39,0.094,0.895,0.077,,0.066,0.395,4.643,8.33,7.653,6.71,0.468,,2.607,2.902,,0.016,0.222,2.707,0.425,8.073,,1.041,13.554,1.725,3.102,,8.206,0.118,0.046,7.663,1.423,20.516,4.52,1.202,6.005,,0.387,0.416,0.705,0.683,8.6,0.237,1.336,1.08,2.054,0.87,8.834,,11.571,2.131
1996,1.135,20.313,0.066,0.712,,0.653,,15.959,3.808,0.808,3.835,17.085,8.44,3.976,0.04,12.663,0.207,0.068,0.198,6.986,26.976,5.885,1.124,5.684,1.451,,1.272,1.725,3.196,15.983,0.578,1.721,0.067,17.226,6.253,3.343,2.768,0.522,0.323,0.054,0.594,,1.59,0.164,0.351,1.318,2.461,29.44,,7.053,12.772,11.77,0.482,,14.36,2.156,3.299,2.069,1.57,0.324,6.371,13.352,0.048,12.466,1.045,7.037,,1.015,4.282,10.002,0.821,0.326,,0.167,3.809,0.182,0.155,0.21,8.189,1.488,,0.625,3.456,1.995,4.662,0.675,3.845,0.129,6.113,1.266,0.901,10.166,4.479,3.331,8.884,9.666,7.7,3.782,3.007,9.922,9.779,0.331,1.229,0.148,0.38,,8.817,30.71,0.097,4.477,0.155,8.761,2.215,,0.384,0.974,4.351,22.15,3.72,3.583,2.668,0.098,1.118,3.617,,5.896,0.05,6.385,0.166,3.243,3.471,0.064,0.463,,4.41,1.708,0.09,5.959,1.025,11.218,0.092,0.358,0.611,,11.715,9.467,0.113,,7.901,6.747,4.048,0.749,1.652,0.997,0.869,,0.436,9.747,,3.31,5.085,0.77,0.379,1.961,61.784,2.826,5.648,10.68,0.078,13.514,0.164,0.417,13.925,,0.379,0.11,0.806,0.072,,0.066,0.388,4.622,8.372,7.999,7.136,0.346,,2.961,2.899,,0.017,0.241,2.994,0.482,7.149,,0.83,16.347,1.809,3.323,,8.536,0.112,0.05,6.948,1.675,20.968,4.553,1.203,5.417,,0.454,0.466,0.701,0.669,8.487,0.199,1.301,1.078,2.115,0.912,8.874,,11.693,2.198
1997,1.144,20.363,0.06,0.489,,0.498,,15.411,3.848,1.031,3.988,17.358,8.397,3.757,0.041,12.104,0.194,0.076,0.202,6.715,29.096,4.739,2.236,6.077,1.76,,1.389,1.792,3.371,16.216,0.738,1.71,0.071,17.545,6.069,3.835,2.753,0.489,0.227,0.043,0.79,,1.678,0.159,0.367,1.352,2.236,31.382,,7.058,12.462,11.421,0.499,,12.519,2.204,2.92,1.539,1.634,0.272,6.669,13.109,0.05,12.171,0.996,6.887,,1.014,4.193,9.537,0.908,0.361,,0.17,3.889,0.177,0.17,0.532,8.558,1.681,,0.697,3.213,2.091,4.827,0.688,4.119,0.169,5.99,1.373,0.919,10.438,4.291,3.173,9.131,9.916,7.772,3.912,2.982,9.886,9.383,0.285,1.192,0.136,0.374,,9.3,31.994,0.121,5.054,0.148,8.782,2.052,,0.412,0.978,4.215,20.287,3.538,3.71,1.655,0.115,1.249,3.798,,5.316,0.051,6.354,0.169,3.494,3.297,0.067,0.453,,4.339,1.733,0.092,5.783,1.023,9.163,0.089,0.373,0.656,,11.178,9.432,0.124,,8.357,6.876,4.06,0.733,1.976,1.106,0.973,,0.5,9.512,,2.946,5.357,0.841,0.3,2.011,70.07,3.189,5.302,10.166,0.077,11.077,0.195,0.354,15.998,,0.368,0.102,0.955,0.066,,0.077,0.381,4.628,8.373,8.164,6.556,1.195,,4.333,2.697,,0.019,0.218,3.052,0.362,7.026,,1.034,14.579,1.804,3.476,,9.139,0.091,0.051,6.779,1.697,20.994,4.518,1.204,5.793,,0.582,0.457,0.755,0.814,8.838,0.247,1.23,1.078,2.122,0.902,8.636,,11.869,2.287
