,Invested Gas Emissions,Invested Coal Emissions,Invested Hydropower,Invested Solarpower,Invested Oil Power,Invested Result,Year
0,25.65096383218994,22.07739123261566,265.6293528706894,16.038546632951828,33.23565114213989,16.409809912309203,2020
1,26.525432039549255,22.315316404467772,268.6074884564743,16.03781228166749,35.73982966615723,16.428255046472106,2021
2,27.486910332491302,22.12753654575939,264.0077317387924,16.037912448422638,38.76470173074768,16.493704604670558,2022
3,28.181030262758636,23.105486701494407,278.7912190587387,16.055987912716,41.13216579629944,16.618006455466304,2023
4,28.660326589395904,23.015472087329577,268.029501262413,16.07132415242645,44.00216806604431,16.66861255349234,2024
5,29.11092175965538,23.786793682044696,259.5077126653061,16.088545361088244,46.91705120279358,16.532476125970636,2025
6,29.511523474504852,23.511097970670413,269.9657910497055,16.104122008682815,49.478732711811524,16.41090451063231,2026
7,29.66700472359886,24.195791366761874,275.16442185948944,16.127853167729107,50.159174747009736,16.29933323593453,2027
8,29.53374599342575,23.53367930955286,270.9120376736984,16.147721621693698,51.39775735809372,16.177253036514077,2028
9,30.168670941641235,23.586289189076375,257.04799539159393,16.171669108347622,54.50093371345566,16.08048798771218,2029
10,30.477550793936157,23.97281952879424,275.0073841245041,16.196167282314626,56.884224957962495,15.990142008975301,2030
11,31.315579344084167,23.603446475481938,275.2265964032278,16.218067949192253,56.89279250166283,15.88148694367722,2031
12,32.237540890028384,23.822937346315335,284.23063902865505,16.227159119696942,57.473183074210745,15.77855270238236,2032
13,32.839636732389835,24.31732780418391,281.31077198992824,16.25847160399112,56.74258694908486,15.667815676644597,2033
14,33.149523962786105,24.24075315079684,302.2604427815542,16.26786792233738,55.87671486399041,15.591977386489663,2034
15,33.37223172610035,25.025876975870084,293.804173517333,16.286327881293026,55.196109929298025,15.59322172378764,2035
16,33.7748344582819,25.25511700592036,294.01621543179607,16.313371847869483,55.36729676387177,15.563837824143622,2036
17,34.76017386143437,25.656380630350064,266.5690795065031,16.32397454653087,56.57888383529053,15.602273905404065,2037
18,35.045151357104686,24.963108039712857,254.69250212918377,16.356241949388412,57.143689104531866,15.663346642382596,2038
19,35.24684152429333,24.581124938344907,253.24754570733165,16.37051786996576,58.495297261689764,15.706533675767634,2039
20,36.213793967416194,24.58341438511419,256.86010144959545,16.38549843292835,59.666739770387274,15.722464646898363,2040
21,37.03514585321179,23.992998907361503,265.3498961807356,16.44959357988241,61.06742770335541,15.700905333958719,2041
22,37.779160772015956,24.73683632353353,266.9496983171568,16.734935498350886,61.748182901357275,15.683375086389635,2042
23,38.225577626874355,24.499349916372772,287.39900671254253,16.98190339517,62.12406662962304,15.588937330745313,2043
24,38.78224751775494,24.411118069682594,274.5659044862852,17.313783696407107,61.88117935619221,15.392205703757856,2044
25,39.515417073419,24.70461625793981,273.7129328132734,17.59577252578142,63.0557514663683,15.290674257777784,2045
26,40.262671623876,24.82316174546289,275.7761289955244,18.416310510152606,64.17552020511494,15.188741359613989,2046
27,41.079410169770625,24.94915864804792,291.82622741471386,19.47693820905092,65.25801267585621,15.027086484931562,2047
28,41.89330742185345,24.244562128577705,289.3379216076002,21.11056002091768,65.55184485874042,14.87814382066593,2048
29,42.63935539548626,24.140276299808498,283.4650573612318,23.510800680631426,67.17377605399952,14.756193544469927,2049
