,0
0,31.607362747192383
1,32.14793014526367
2,32.67691421508789
3,33.217376708984375
4,33.831356048583984
5,34.43440246582031
6,34.96417999267578
7,35.44603729248047
8,35.91439437866211
9,36.3580322265625
10,36.771427154541016
11,37.155487060546875
12,37.517486572265625
13,37.86368942260742
14,38.19643020629883
15,38.51762008666992
16,38.83100891113281
17,39.14047622680664
18,39.449222564697266
19,39.76001739501953
20,40.0755615234375
21,40.39863204956055
22,40.731849670410156
23,41.0775032043457
24,41.437435150146484
25,41.8127326965332
26,42.203182220458984
27,42.608577728271484
28,43.03274154663086
29,43.467262268066406
30,43.8872184753418
31,43.93379211425781
32,43.27755355834961
33,41.875328063964844
34,39.92534255981445
35,38.011375427246094
36,37.067840576171875
37,37.46696090698242
38,37.84238815307617
39,37.83409881591797
40,37.9078254699707
41,38.16421127319336
42,38.491188049316406
43,38.79859161376953
44,39.06912612915039
45,39.348751068115234
46,39.65692138671875
47,39.975032806396484
48,40.29347229003906
49,40.61878967285156
