,Invested Gas Emissions,Invested Coal Emissions,Invested Hydropower,Invested Solarpower,Invested Oil Power,Invested Result,Year
0,27.12355928545227,20.745109445201557,305.35409730981445,16.038787040486703,31.92216778471039,16.427810164854083,2020
1,29.95814876680603,21.050863004075687,755.0573748977051,16.038244146771966,33.02538157178925,16.44242085398749,2021
2,32.328698207189944,20.801476455079715,792.9379214675293,16.038330497007472,33.708635694523316,16.4832114565523,2022
3,34.81323032503357,22.212394094812076,749.4431781203614,16.08779828787933,34.64183492137955,16.59382649393395,2023
4,36.77515487795105,22.291162020312946,713.1890773208008,16.13242595435272,35.448656625290376,16.63470456258968,2024
5,38.10276036386719,22.58587700759093,697.9119815261231,16.22148874939571,36.200999028225404,16.490395950839076,2025
6,38.85102229242554,22.640038861679237,800.9285144240723,16.26900880576263,36.4851120181279,16.37290831165031,2026
7,39.43399165992966,22.4831648159496,862.4081935317383,16.30500666962157,36.69554709567593,16.268431636259113,2027
8,39.4632414602988,23.4042572069637,832.2028598220215,16.39759227798472,37.08306144847439,16.153917754754577,2028
9,40.6812807345145,22.865681200074356,780.1862086684571,16.492126809220416,37.94823496713207,16.062988291248832,2029
10,41.709355952715185,22.73679748063008,716.6679591567383,16.560898655812842,38.45208799018429,15.979938099846397,2030
11,43.267291786646155,22.72035640736143,741.8848285109864,16.656211646061045,38.60448656155632,15.877981710001979,2031
12,44.94654345748356,22.140592637257974,754.9147738845215,16.704932553480965,38.690243891616326,15.768677274450813,2032
13,45.47569817540577,23.38177281876127,774.3808440596924,16.74833173097263,38.66259342170225,15.647522608503852,2033
14,46.33579749104908,23.732686730819147,801.713293019043,16.792116982649667,38.624301520352226,15.575024756357227,2034
15,46.10968360540798,24.09363758822004,864.682817402588,16.872874861370427,39.11332738137708,15.588815239943717,2035
16,46.20602941749027,23.89476131160776,893.8626727492676,16.953083237420422,39.838693675761085,15.564423145480607,2036
17,48.23818660018375,25.03103672225992,846.1665706069336,17.034896699498994,40.51570588088499,15.595781342812035,2037
18,48.39467522737911,24.095194506245058,774.1562098891602,17.091097088317973,41.07810944056974,15.654351738967154,2038
19,48.6823314451926,23.43323032815973,787.8416861922608,17.148327005814416,42.15787189937101,15.701291771359895,2039
20,50.48120713469913,23.37798578177611,732.4579886824952,17.201686715494496,42.96936529613004,15.719112870969031,2040
21,51.9180766367667,22.675981945144336,750.970560017334,17.343456392895085,43.8534890983151,15.694273791961525,2041
22,53.59358501670292,23.212200111495655,1055.711984577881,17.65834117473255,44.40452337003217,15.676276774831269,2042
23,53.9738308214896,23.19775490441392,1048.0926885039673,17.937593167435033,44.56801044679151,15.58247636420295,2043
24,55.13123965499332,23.371591925407152,1363.4715947539673,18.277593230615956,44.69974817073808,15.379776077099297,2044
25,56.21059954402378,23.834444045806627,1401.4713277251587,18.628705745350224,45.233197224502426,15.274452225990746,2045
26,57.38668847320011,23.782978545660477,1803.7677449614869,19.492940252434117,45.748927069072586,15.175636278219674,2046
27,58.59585368869236,23.815808184231024,1818.1087531478272,20.53710777104984,46.50119174755083,15.019243644304726,2047
28,60.044887306665686,23.196303076828222,1908.3722190291749,22.242691939483983,47.01209009922014,14.866194518037293,2048
29,60.82505566117695,22.466171152675848,1963.9223174483643,24.32133216203342,47.610126388435226,14.740034730859254,2049
