Year,Gas Emissions,Coal Emissions,Hydropower,Solarpower,Oil Power,Result
1968,23.12803155,15.88461176,198.9740859,0.0,32.08980577,16.9681185789701
1969,24.660649399999997,15.15985929,199.9369071,0.0,33.3311945,17.4517252487095
1970,25.78217725,15.60554025,227.22081310000002,0.0,34.26810276,18.1210730107855
1971,27.34497285,16.70552895,228.1547051,0.0,36.31017471,18.5983178821611
1972,29.17263402,17.43254902,256.0285222,0.0,37.98518715,19.0893891562783
1973,30.47595059,18.00652971,253.49236569999997,0.0,39.15868239,19.857945662309998
1974,31.14054361,18.51316151,272.253999,0.0,40.12891397,21.111252272594303
1975,31.17941201,18.95453212,278.71598789999996,0.0,43.00199849,20.9802034758573
1976,30.64882756,18.52258886,278.212701,0.0,45.01067636,21.7486419846019
1977,29.32147424,18.83069651,307.2846515,0.0,42.818450799999994,22.510582127233896
1978,26.669736199999996,20.04796991,306.21482119999996,0.0,41.56730239,21.502930377734298
1979,26.95117035,18.02115491,289.8224626,0.0,44.22337141,20.4022240696754
1980,26.15507368,19.20278207,225.8572596,0.0,46.25788822,21.1576153736785
1981,25.999323800000003,18.93180878,286.3285091,0.0,44.8551432,21.5324840060117
1982,26.61052878,19.11542754,285.9353293,0.0,43.4991268,21.9730046948357
1983,25.81105871,20.34016894,282.0021111,0.0,39.8939513,21.780436977627698
1984,24.95210464,21.1044327,266.5097616,0.0,36.81947682,20.7864877412257
1985,22.97705185,21.30173216,315.52930610000004,0.0,34.47625733,19.7667641742132
1986,21.35416491,20.0087745,338.67763130000003,0.003,33.90023596,18.5904952301609
1987,22.59524922,23.44342056,327.5872374,0.00530101,34.75863075,18.5715437097933
1988,21.54426399,21.52066159,287.18236160000004,0.010737374,34.28517737,18.976750268207397
1989,20.00193379,21.06548727,296.9749687,0.014173736999999999,35.39748463,18.8823127427246
1990,21.06623889,21.16563699,255.4101949,0.01060303,35.7725174,18.7207227161615
1991,21.82408736,19.401560399999997,228.38464950000002,0.009185859000000001,36.92752392,19.3503344229412
1992,22.9683577,21.97570155,274.7241778,0.253132323,36.54312833,20.0104134086438
1993,22.75025648,21.335329100000003,292.2809141,0.370794949,35.52601387,20.075769778663698
1994,23.02611867,21.33724903,287.3260141,0.47825287299999997,34.40802771,19.322751180780603
1995,23.57920196,21.82123327,251.4256778,0.40884447700000004,34.83420045,19.0561631861681
1996,23.92728474,22.25561185,279.2509455,0.47516189200000003,34.76988394,19.1394372782772
1997,24.23624075,22.69065716,259.3413212,0.501872793,35.32108177,19.3470829142925
1998,25.01047864,23.64314192,311.21981519999997,0.514471573,34.82628314,19.3608920479162
1999,25.168735199999997,22.51699287,347.5494798,0.541341217,35.63554786,19.2765452647233
2000,25.00915884,22.33611556,355.9731212,0.532695728,35.68413806,19.4960247370023
2001,24.28255628,20.70496832,322.0892737,0.524659346,35.90038638,19.690363181579798
2002,24.07651456,22.374398,316.6051818,0.51834207,36.46595173,19.579236201033897
2003,24.760797399999998,22.04704505,272.7613505,0.518512654,36.41167886,19.727169506164
2004,23.42960128,22.43632735,210.24,0.574351055,36.04337853,20.1787505069199
2005,23.96508003,22.67704476,258.1675788,0.601597598,35.74046641,19.636505067718698
2006,23.07021859,23.09549809,269.97096769999996,0.6106543179999999,36.06554896,19.613404076881398
2007,22.96472805,22.10618175,262.55464440000003,0.698132438,37.17777842,19.5641045293305
2008,22.40797804,21.33075999,266.4277444,0.7489006340000001,36.97880587,19.6583711815214
2009,21.88358663,21.86370158,285.5440141,0.8244321290000001,36.34182594,19.5918852294317
2010,23.0704638,20.91996561,243.04406260000002,1.095410499,35.93402817,19.0940665201349
2011,23.03321382,20.14020201,251.0538616,1.633062564,33.55734315,19.217897835532
2012,22.42098851,20.64314792,271.5330798,2.075960394,31.65771404,18.461763868080197
2013,23.33500841,20.7414403,257.2746838,3.0130364210000002,32.03157443,17.1577377931966
2014,23.51204362,21.08179253,316.0953414,4.738904128,31.21682194,17.442861713392197
2015,24.40135422,20.62862329,274.03002730000003,9.037013756,30.32460701,16.9769572829045
2016,24.8966599,20.7528412,266.5498485,16.03969548,30.66924823,16.310471097693
2017,25.25855159,18.64015446,255.7505798,29.21616162,30.67742792,16.3234767932125
2018,25.82894972,18.84382446,246.45312830000003,39.42626263,31.13365874,16.502837239406
