,Invested Gas Emissions,Invested Coal Emissions,Invested Hydropower,Invested Solarpower,Invested Oil Power,Invested Result,Year
0,23.99587499027481,21.88749739087219,1163.8917064101563,16.03868361397158,31.117789513607484,16.408761481508765,2020
1,23.26806007747879,22.172049667006682,2649.126081410156,16.038032951333797,31.43486113025711,16.43075866507009,2021
2,22.89539777164688,21.961414019828986,5001.717878285156,16.038139828981137,31.492760303606254,16.474590922460113,2022
3,22.85966063713064,22.9455612704813,7261.701032582031,16.051518858910775,31.273408997048598,16.568450296983276,2023
4,22.78925399159422,22.684426109558295,9348.534284535155,16.09555083283899,30.968404668559295,16.601999415770326,2024
5,22.879932735612297,23.623449723488044,11116.392072621093,16.144242135376906,30.547256249179107,16.470223634258065,2025
6,22.989780035366916,23.05868951535816,13001.649640980468,16.184629706234908,29.95375879405902,16.357079169467244,2026
7,23.055843424549007,24.051503996616553,14983.300031605468,16.23720819273708,29.31247653364108,16.241387343719754,2027
8,23.326809924592876,23.84247578240032,16881.99595445703,16.261625835241055,28.886734414090377,16.11496660740689,2028
9,23.6850885865592,23.456770490175437,19018.53062242578,16.28991368369875,28.540949273099166,16.026311098352227,2029
10,24.007095527400875,24.09129763699169,20491.727033558593,16.318296273739314,27.99509172438548,15.962134710267339,2030
11,24.401084792365932,23.612293015485953,22848.281721058593,16.361973361612534,27.318898606290084,15.876625551596437,2031
12,24.720399570217037,23.740669037467192,23410.021284046874,16.38954946169374,26.718512225140792,15.776797926739011,2032
13,24.991552155961894,24.38889255679245,25424.95475572656,16.443302744568562,26.255382883538466,15.652323095813546,2033
14,25.213569369664096,24.20541326261158,27218.467695179686,16.490221583784795,25.99546529649661,15.56529773654059,2034
15,25.19737011616459,24.775461714035224,29044.637983265624,16.536754348815656,25.89724695979522,15.561245922684822,2035
16,25.192841593207472,24.81140112808938,30800.90482896875,16.601138459087586,25.931078116585475,15.53873541274682,2036
17,25.06178921836769,25.70501422814126,31260.47086900781,16.645592035294747,26.052250909795028,15.57587423989192,2037
18,24.832040358366125,25.010017573153924,33120.550092640624,16.686886759043908,26.160073253502112,15.630184520721588,2038
19,24.540380436958426,24.645068644797753,33620.610120716796,16.728931916446662,26.29351580439971,15.676216841429625,2039
20,24.25374131280338,24.712681665337037,35478.57374376367,16.78306535402057,26.34642868040965,15.703544527977858,2040
21,24.138550397040003,23.772876515304993,35980.77915758203,16.864785259158587,26.361167613592905,15.695145301275108,2041
22,23.955939810754412,24.74785979024167,38482.20640367578,17.16226164022205,26.207836721268457,15.681024148814533,2042
23,23.71666326749479,24.504773303186845,39457.49693101953,17.38519588628528,26.025605339732927,15.590246960275028,2043
24,23.640004750372523,24.39388520202632,39949.988569203124,17.7817256800246,25.99305417778806,15.403994098059986,2044
25,23.60397375750696,24.682909942483853,41940.399213734374,18.31864795604465,26.03900563361959,15.30289085929856,2045
26,23.78567629683172,24.758095680987786,44410.36088365625,19.24842057147739,26.017916653481286,15.197112872950886,2046
27,23.972413580896013,25.03278002074952,45582.78764146875,20.317734097630954,25.996068436828416,15.04330371295676,2047
28,24.2924672775284,24.416927485978555,47190.36808580469,22.244674300343966,25.919809173968595,14.890078812591884,2048
29,24.64069272208368,24.40986276955376,47867.511030140624,24.598808144719577,25.782857027080816,14.754564344637249,2049
